2018-05-14 09:09:23.311169,Milton Keynes County Court and Family Court,0001
2018-05-14 09:53:43.435677,Watford County Court and Family Court,0002
2018-05-14 17:23:48.909355,Milton Keynes County Court and Family Court,0003
2018-05-15 10:37:16.151034,Watford County Court and Family Court,0004
2018-05-16 09:16:47.185167,Guildford County Court and Family Court,0005
2018-05-17 17:10:05.234964,Watford County Court and Family Court,0006
2018-06-06 18:41:07.382047,Slough County Court and Family Court,0007
2018-05-29 14:26:24.434972,Milton Keynes County Court and Family Court,0008
2018-06-01 13:49:15.694401,Milton Keynes County Court and Family Court,0009
2018-06-06 09:56:41.444763,Watford County Court and Family Court,0010
2018-06-07 16:27:11.521827,Reading County Court and Family Court,0011
2018-06-07 16:10:00.660222,Milton Keynes County Court and Family Court,0012
2018-06-09 10:08:22.582512,Reading County Court and Family Court,0013
2018-06-09 14:26:37.051777,Milton Keynes County Court and Family Court,0014
2018-06-10 16:35:36.017188,Reading County Court and Family Court,0015
2018-06-10 23:13:18.630578,Watford County Court and Family Court,0016
2018-06-11 12:35:06.475981,Watford County Court and Family Court,0017
2018-06-11 19:50:07.239226,Slough County Court and Family Court,0018
2018-06-13 14:16:40.826231,Guildford County Court and Family Court,0019
2018-06-14 17:01:38.455507,Reading County Court and Family Court,0020
2018-06-14 21:59:27.383275,Watford County Court and Family Court,0021
2018-06-16 21:46:19.156793,Watford County Court and Family Court,0022
2018-06-19 14:13:54.055549,Milton Keynes County Court and Family Court,0023
2018-06-27 11:34:25.797794,Reading County Court and Family Court,0024
2018-06-26 13:18:39.875757,Watford County Court and Family Court,0025
2018-06-20 22:40:11.12437,Milton Keynes County Court and Family Court,0026
2018-06-22 10:50:32.987391,Watford County Court and Family Court,0027
2018-06-23 10:54:09.762051,Reading County Court and Family Court,0028
2018-07-02 16:10:26.48722,Milton Keynes County Court and Family Court,0029
2018-06-25 23:40:52.788392,Milton Keynes County Court and Family Court,0030
2018-07-21 04:08:26.243829,Milton Keynes County Court and Family Court,0031
2018-06-27 20:17:15.796791,Kingston-upon-Hull Combined Court Centre,0032
2018-06-28 10:10:44.849376,Bristol Civil and Family Justice Centre,0033
2018-06-29 09:01:01.726449,Milton Keynes County Court and Family Court,0034
2018-06-29 09:23:50.774108,Bristol Civil and Family Justice Centre,0035
2018-06-29 11:37:52.898909,Milton Keynes County Court and Family Court,0036
2018-07-04 00:43:08.962852,Milton Keynes County Court and Family Court,0037
2018-07-01 19:44:33.268214,Watford County Court and Family Court,0038
2018-07-04 08:17:23.993243,Oxford Combined Court Centre,0039
2018-07-02 18:36:17.139945,Kingston-upon-Hull Combined Court Centre,0040
2018-07-03 12:32:16.524059,Bristol Civil and Family Justice Centre,0041
2018-07-03 23:51:23.491825,Reading County Court and Family Court,0042
2018-07-04 10:51:45.797661,Bristol Civil and Family Justice Centre,0043
2018-07-04 11:21:41.103254,Reading County Court and Family Court,0044
2018-07-04 10:11:11.558543,Watford County Court and Family Court,0045
2018-07-04 15:33:57.010806,Watford County Court and Family Court,0046
2018-08-01 14:26:26.693196,Bristol Civil and Family Justice Centre,0047
2018-07-05 10:24:53.382886,Bristol Civil and Family Justice Centre,0048
2018-07-05 12:33:44.804039,Oxford Combined Court Centre,0049
2018-07-05 19:23:32.642386,Kingston-upon-Hull Combined Court Centre,0050
2018-07-08 23:44:22.573947,Slough County Court and Family Court,0051
2018-07-09 07:05:25.424506,Watford County Court and Family Court,0052
2018-08-02 08:03:34.430625,Bristol Civil and Family Justice Centre,0053
2018-07-09 11:47:25.002615,Bristol Civil and Family Justice Centre,0054
2018-07-10 21:31:28.18529,Oxford Combined Court Centre,0055
2018-07-10 21:35:18.224722,Reading County Court and Family Court,0056
2018-07-11 10:04:40.937935,Nottingham County Court and Family Court,0057
2018-07-11 10:26:42.806559,Bristol Civil and Family Justice Centre,0058
2018-07-11 15:41:36.600537,Newcastle upon Tyne Combined Court Centre,0059
2018-07-11 19:06:02.076421,Nottingham County Court and Family Court,0060
2018-07-12 09:50:53.396449,Leeds Combined Court Centre,0061
2018-08-09 07:06:27.772494,Watford County Court and Family Court,0062
2018-07-12 17:39:43.2967,Bristol Civil and Family Justice Centre,0063
2018-07-14 10:48:56.741604,Newcastle upon Tyne Combined Court Centre,0064
2018-07-12 21:20:35.56266,West London Family Court,0065
2018-07-13 11:01:59.051164,Bristol Civil and Family Justice Centre,0066
2018-07-13 10:00:21.451318,Bristol Civil and Family Justice Centre,0067
2018-07-13 17:10:03.848849,West London Family Court,0068
2018-07-15 14:35:01.074148,Reading County Court and Family Court,0069
2018-07-18 09:51:57.552658,Leeds Combined Court Centre,0070
2018-07-15 22:01:50.69169,Leeds Combined Court Centre,0071
2018-07-16 10:30:49.385537,Bristol Civil and Family Justice Centre,0072
2018-07-16 19:17:26.216969,Preston Crown Court and Family Court (Sessions House),0073
2018-07-18 09:51:21.803373,Oxford Combined Court Centre,0074
2018-07-17 11:02:00.834783,Bristol Civil and Family Justice Centre,0075
2018-07-22 16:51:17.279373,Bristol Civil and Family Justice Centre,0076
2018-07-17 13:15:47.239315,Milton Keynes County Court and Family Court,0077
2018-07-17 13:14:18.358569,West London Family Court,0078
2018-07-17 17:34:38.048236,Newcastle upon Tyne Combined Court Centre,0079
2018-07-18 07:34:29.542536,Cardiff Civil and Family Justice Centre,0080
2018-07-18 11:07:58.49451,Bristol Civil and Family Justice Centre,0081
2018-07-18 10:17:56.080201,Leeds Combined Court Centre,0082
2018-07-18 17:17:19.375854,Oxford Combined Court Centre,0083
2018-07-19 09:22:03.339845,Bristol Civil and Family Justice Centre,0084
2018-07-19 15:17:04.070063,Cardiff Civil and Family Justice Centre,0085
2018-07-19 15:18:24.311943,Bristol Civil and Family Justice Centre,0086
2018-07-19 15:16:57.863401,Preston Crown Court and Family Court (Sessions House),0087
2018-07-19 21:40:45.380988,Preston Crown Court and Family Court (Sessions House),0088
2018-07-20 18:39:36.538635,Preston Crown Court and Family Court (Sessions House),0089
2018-07-20 20:18:32.753001,Leeds Combined Court Centre,0090
2018-07-20 21:35:36.25789,Bristol Civil and Family Justice Centre,0091
2018-07-21 23:22:22.375506,Milton Keynes County Court and Family Court,0092
2018-07-21 19:44:47.300368,Leeds Combined Court Centre,0093
2018-07-21 18:36:17.798598,Newcastle upon Tyne Combined Court Centre,0094
2018-07-22 08:28:19.950678,Newcastle upon Tyne Combined Court Centre,0095
2018-07-22 09:19:28.197941,Preston Crown Court and Family Court (Sessions House),0096
2018-07-22 19:24:15.639295,Guildford County Court and Family Court,0097
2018-07-23 16:36:19.395276,West London Family Court,0098
2018-07-28 12:54:36.976849,Bristol Civil and Family Justice Centre,0099
2018-07-24 14:13:02.181339,Bristol Civil and Family Justice Centre,0100
2018-07-23 15:56:35.514284,Oxford Combined Court Centre,0101
2018-08-01 15:55:27.600834,Guildford County Court and Family Court,0102
2018-07-23 17:43:45.483258,Milton Keynes County Court and Family Court,0103
2018-07-23 19:02:32.762995,Nottingham County Court and Family Court,0104
2018-07-24 11:28:23.67039,Leeds Combined Court Centre,0105
2018-07-24 12:52:00.063169,Bristol Civil and Family Justice Centre,0106
2018-07-24 14:01:26.067309,West London Family Court,0107
2018-07-24 14:35:14.218463,Leeds Combined Court Centre,0108
2018-07-24 17:56:02.434254,Watford County Court and Family Court,0109
2018-07-24 21:20:04.07808,Bristol Civil and Family Justice Centre,0110
2018-07-25 02:21:03.842943,Reading County Court and Family Court,0111
2018-07-25 22:21:56.231366,West London Family Court,0112
